,Id,Name,in2000,in2015,inBoth,Group
1,-9,No answer/refused,FALSE,TRUE,FALSE,0
2,-1,Not applicable,FALSE,TRUE,FALSE,0
3,0,Unspecified personal care,TRUE,TRUE,TRUE,6
4,10,Unspecified Sleep,TRUE,FALSE,FALSE,1
5,110,Sleep,TRUE,TRUE,TRUE,1
6,111,Sleep: In bed not asleep,FALSE,TRUE,FALSE,1
7,120,Sleep: Sick in bed,TRUE,TRUE,TRUE,1
8,210,Eating,TRUE,TRUE,TRUE,8
9,300,Other personal care: Unspecified other personal care,TRUE,TRUE,TRUE,7
10,310,Other personal care: Wash and dress,TRUE,TRUE,TRUE,7
11,390,Other personal care: Other specified personal care,TRUE,TRUE,TRUE,7
12,1000,Unspecified employment,TRUE,TRUE,TRUE,10
13,1100,Main job: unspecified main job,FALSE,TRUE,FALSE,10
14,1110,Main job: Working time in main job,TRUE,TRUE,TRUE,10
15,1120,Main job: Coffee and other breaks in main job,TRUE,TRUE,TRUE,10
16,1210,Second job: Working time in second job,TRUE,TRUE,TRUE,10
17,1220,Second job: Coffee and other breaks in second job,TRUE,TRUE,TRUE,10
18,1300,Activities related to employment: Unspecified activities related to employment,TRUE,TRUE,TRUE,10
19,1310,Activities related to employment: Lunch break,TRUE,TRUE,TRUE,10
20,1390,Activities related to employment: Other specified activities related to employment,TRUE,TRUE,TRUE,10
21,1391,Activities related to employment: Activities related to job seeking,TRUE,TRUE,TRUE,10
22,1399,Activities related to employment: Other unspecified activities related to employment,TRUE,TRUE,TRUE,10
23,2000,Study: Unspecified study school or university,TRUE,TRUE,TRUE,2
24,2100,Study: Unspecified activities related to school or university,TRUE,TRUE,TRUE,2
25,2110,Study: Classes and lectures,TRUE,TRUE,TRUE,2
26,2120,Study: Homework,TRUE,TRUE,TRUE,2
27,2190,Study: other specified activities related to school or university,TRUE,TRUE,TRUE,2
28,2210,Free time study,TRUE,TRUE,TRUE,2
29,3000,Unspecified household and family care,TRUE,TRUE,TRUE,6
30,3100,Unspecified food management,TRUE,TRUE,TRUE,5
31,3110,Food preparation and baking,TRUE,TRUE,TRUE,5
32,3120,Baking,TRUE,FALSE,FALSE,5
33,3130,Dish washing,TRUE,TRUE,TRUE,9
34,3140,Preserving,TRUE,TRUE,TRUE,5
35,3190,Other specified food management,TRUE,TRUE,TRUE,5
36,3200,Unspecified household upkeep,TRUE,TRUE,TRUE,6
37,3210,Cleaning dwelling,TRUE,TRUE,TRUE,6
38,3220,Cleaning yard,TRUE,TRUE,TRUE,6
39,3230,Heating and water,TRUE,TRUE,TRUE,9
40,3240,Arranging household goods and materials,TRUE,TRUE,TRUE,6
41,3250,Disposal of waste,TRUE,TRUE,TRUE,6
42,3290,Other or unspecified household upkeep,TRUE,TRUE,TRUE,6
43,3300,Unspecified making and care for textiles,TRUE,TRUE,TRUE,6
44,3310,Laundry,TRUE,TRUE,TRUE,9
